QueryName,ResponseName,ReleaseDate,RequiredAge,DemoCount,DeveloperCount,DLCCount,Metacritic,MovieCount,PackageCount,RecommendationCount,PublisherCount,ScreenshotCount,SteamSpyOwners,SteamSpyOwnersVariance,SteamSpyPlayersEstimate,SteamSpyPlayersVariance,AchievementCount,AchievementHighlightedCount,ControllerSupport,IsFree,FreeVerAvail,PurchaseAvail,SubscriptionAvail,PlatformWindows,PlatformLinux,PlatformMac,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeSrcSDK,CategoryIncludeLevelEditor,CategoryVRSupport,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceCurrency,PriceInitial,PriceFinal
Counter-Strike: Source,Counter-Strike: Source,Nov 1 2004,0,0,1,0,88,0,1,53931,1,5,15433570,100626,11472993,87251,147,10,False,False,False,True,False,True,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99
Half-Life: Source,Half-Life: Source,Jun 1 2004,0,0,1,0,0,0,1,2547,1,4,2983660,45027,695697,21811,0,0,False,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
Day of Defeat: Source,Day of Defeat: Source,Jul 12 2010,0,0,1,0,80,3,1,7185,1,5,6400269,65635,2895778,44364,54,10,False,False,False,True,False,True,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
Half-Life 2: Deathmatch,Half-Life 2: Deathmatch,Nov 1 2004,0,0,1,0,0,0,2,4328,1,5,14001822,96041,3598829,49409,0,0,False,False,False,True,False,True,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
Half-Life 2: Lost Coast,Half-Life 2: Lost Coast,Oct 27 2005,0,0,1,0,0,0,0,4352,1,5,14844765,98771,2885376,44285,0,0,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False, ,0.0,0.0
Half-Life Deathmatch: Source,Half-Life Deathmatch: Source,May 1 2006,0,0,1,0,0,0,1,864,1,5,6796273,67597,388292,16301,0,0,False,True,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
Half-Life 2: Episode One,Half-Life 2: Episode One,Jun 1 2006,0,0,1,1,87,5,2,4437,1,5,6298399,65120,2478611,41068,13,10,False,False,False,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,7.99,7.99
Portal,Portal,Oct 10 2007,0,1,1,1,90,1,2,27535,1,11,9795716,80813,6864247,67928,15,10,False,False,False,True,False,True,True,True,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
Half-Life 2: Episode Two,Half-Life 2: Episode Two,Oct 10 2007,0,0,1,1,90,7,2,6104,1,5,5735062,62188,2240435,39058,22,10,False,False,False,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,7.99,7.99
Team Fortress 2,Team Fortress 2,Oct 10 2007,0,0,1,0,92,16,1,383949,1,11,37878812,152480,37878812,152480,520,10,False,True,False,True,False,True,True,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False, ,0.0,0.0
Left 4 Dead,Left 4 Dead,Nov 17 2008,0,0,1,0,89,6,2,9980,1,12,4473517,55021,3107949,45947,73,10,True,False,False,True,False,True,False,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99
Left 4 Dead 2,Left 4 Dead 2,Nov 16 2009,0,0,1,0,89,3,1,140726,1,17,15574539,101064,13583400,94652,70,10,True,False,False,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99
Dota 2,Dota 2,Jul 9 2013,0,0,1,0,90,4,0,590480,1,16,90687580,215972,90687580,215972,0,0,False,True,False,False,False,True,True,True,False,True,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False, ,0.0,0.0
Portal 2,Portal 2,Apr 18 2011,0,0,1,1,95,17,3,73128,1,12,8741499,76454,7282849,69928,51,10,True,False,False,True,False,True,True,True,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,USD,19.99,19.99
Alien Swarm,Alien Swarm,Jul 19 2010,0,0,1,0,77,2,0,14625,1,10,4819841,57083,4819841,57083,66,10,False,True,False,False,False,True,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False, ,0.0,0.0
Counter-Strike: Global Offensive,Counter-Strike: Global Offensive,Aug 21 2012,0,0,1,0,83,8,1,1427633,1,15,25833156,128228,25150372,126650,167,10,True,False,False,True,False,True,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,14.99,14.99
Rag Doll Kung Fu,Rag Doll Kung Fu,Oct 12 2005,0,1,1,0,69,1,1,0,1,5,35332,4919,12913,2974,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
Red Orchestra: Ostfront 41-45,Red Orchestra: Ostfront 41-45,Mar 14 2006,0,0,1,0,81,6,2,1220,1,37,940689,25354,515451,18779,44,10,False,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
Killing Floor,Killing Floor,May 14 2009,17,0,1,21,72,0,4,44364,1,39,3496958,48712,2989220,45069,285,10,False,False,False,True,False,True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99
SiN Episodes: Emergence,SiN Episodes: Emergence,May 10 2006,0,0,1,0,75,1,1,385,1,5,219883,12270,69767,6913,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
Darwinia,Darwinia,Jul 14 2005,0,1,1,0,84,2,4,444,1,5,674354,21475,214861,12129,0,0,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99
Uplink,Uplink,Aug 23 2006,0,0,1,0,75,1,2,1240,1,4,728339,22316,314938,14683,0,0,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99
DEFCON,DEFCON,Sep 29 2006,0,1,1,0,84,0,3,1655,1,5,811736,23556,451423,17575,22,10,False,False,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99
Multiwinia,Multiwinia,Sep 19 2008,0,1,1,0,76,7,3,340,1,16,619832,20590,139534,9775,12,10,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
Dangerous Waters,Dangerous Waters,Feb 7 2006,0,0,1,0,82,1,2,112,1,8,53087,6030,22957,3965,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,14.99,14.99
Space Empires IV Deluxe,Space Empires IV Deluxe,Feb 7 2006,0,0,1,0,79,0,2,0,1,5,69946,6922,31566,4650,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99
Jagged Alliance 2,Jagged Alliance 2 Gold,Jul 6 2006,0,0,1,0,0,0,1,0,1,5,0,0,0,0,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,19.99,19.99
Disciples II: Rise of the Elves,Disciples II: Rise of the Elves,Jul 6 2006,0,0,1,0,80,0,1,299,1,13,106175,8527,48783,5780,0,0,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,6.49,6.49
Disciples II: Gallean's Return,Disciples II: Galleans Return,Jul 6 2006,0,0,1,0,84,0,1,400,1,4,113708,8825,60800,6453,0,0,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,6.49,6.49
Iron Warriors: T-72 Tank Command,Iron Warriors: T - 72 Tank Command,Jul 26 2006,0,0,1,0,56,0,1,210,1,5,43403,5452,17218,3434,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,4.99,4.99
Space Empires V,Space Empires V,Oct 16 2006,0,0,1,0,68,0,2,204,1,5,69408,6895,38740,5151,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,14.99,14.99
Arx Fatalis,Arx Fatalis,Apr 3 2007,0,1,1,0,77,0,1,389,1,10,119806,9058,57033,6250,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,USD,4.99,4.99
Source Filmmaker,Source Filmmaker,Jul 10 2012,0,0,1,0,0,1,0,10079,1,6,1146403,27981,1146403,27981,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False, ,0.0,0.0
Earth 2160,Earth 2160,Apr 1 2006,0,0,1,0,73,3,1,412,2,9,236024,12712,94876,8061,0,0,False,False,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,4.99,4.99
Two Worlds: Epic Edition,Two Worlds Epic Edition,Apr 30 2009,17,0,1,1,65,1,2,2399,1,16,942661,25380,416629,16885,0,0,False,False,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,USD,9.99,9.99
Dark Messiah of Might & Magic Single Player,Dark Messiah of Might & Magic,Oct 25 2006,17,1,1,0,72,4,1,2776,1,6,966156,25694,405509,16659,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,USD,9.99,9.99
Quake III Arena,Quake III Arena,Aug 3 2007,0,1,1,0,0,0,2,656,1,5,319063,14778,141686,9850,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,14.99,14.99
Quake 4,Quake IV,Aug 4 2011,17,0,1,0,81,1,1,509,1,15,173790,10909,93082,7984,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,14.99,14.99
Wolfenstein 3D,Wolfenstein 3D,Aug 3 2007,0,0,1,0,0,0,2,1061,1,5,288035,14042,134871,9611,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
The Ultimate DOOM,Ultimate Doom,Aug 3 2007,0,0,1,0,0,0,2,2000,1,5,446580,17481,234051,12659,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
Final DOOM,Final DOOM,Aug 3 2007,0,0,1,0,0,0,2,389,1,6,374123,16002,116577,8935,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
DOOM II: Hell on Earth,DOOM II,Aug 3 2007,0,0,1,0,83,0,2,1279,1,5,443890,17428,194594,11543,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
Quake,QUAKE,Aug 3 2007,0,0,1,0,94,0,2,1266,1,5,340047,15256,181860,11159,0,0,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
Quake II,QUAKE II,Aug 3 2007,0,1,1,0,0,0,2,660,1,4,318525,14766,140969,9825,0,0,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
Quake II: The Reckoning,QUAKE II Mission Pack: The Reckoning,Aug 3 2007,0,0,1,0,0,0,2,0,1,4,279247,13826,18114,3522,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,2.99,2.99
Quake II: Ground Zero,QUAKE II Mission Pack: Ground Zero,Aug 3 2007,0,0,1,0,0,0,2,0,1,4,278171,13800,22239,3903,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,2.99,2.99
Quake III: Team Arena,QUAKE III: Team Arena,Aug 3 2007,0,1,1,0,69,1,2,0,1,2,317987,14753,51115,5917,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,14.99,14.99
HeXen: Beyond Heretic,HeXen: Beyond Heretic,Aug 3 2007,0,0,1,0,0,0,2,158,1,8,184551,11241,37305,5055,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
HeXen: Deathkings of the Dark Citadel,HeXen: Deathkings of the Dark Citadel,Aug 3 2007,0,0,1,0,0,0,2,0,1,20,178632,11060,17038,3416,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
Heretic: Shadow of the Serpent Riders,Heretic: Shadow of the Serpent Riders,Aug 3 2007,0,0,1,0,0,0,2,241,1,8,185089,11258,46452,5641,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
The Ship,The Ship: Murder Party,Jul 11 2006,0,0,1,0,76,1,1,5026,1,19,1364671,30520,928313,25187,0,0,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,USD,9.99,9.99
The Ship Single Player,The Ship: Single Player,Nov 20 2006,0,0,1,0,0,1,1,706,1,5,1327366,30101,366411,15836,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False, ,0.0,0.0
Bloody Good Time,Bloody Good Time,Oct 29 2010,0,0,1,0,73,1,1,716,1,8,116936,8949,90392,7868,12,10,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
Shadowgrounds,Shadowgrounds,May 8 2006,17,1,1,0,74,1,2,973,1,5,565669,19671,245530,12965,0,0,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,6.99,6.99
Gumboy: Crazy Adventures,Gumboy - Crazy Adventures(tm),Dec 19 2006,0,1,1,0,69,1,1,0,1,23,72637,7053,17397,3452,0,0,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99
RIP,RIP - Trilogy(tm),Jun 1 2007,0,1,1,0,0,1,1,291,1,8,137920,9719,34614,4869,0,0,False,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,USD,4.99,4.99
Vigil: Blood Bitterness,Vigil: Blood Bitterness(tm),Jun 29 2007,0,1,1,0,61,0,0,129,0,11,63310,6585,19908,3693,0,0,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False, ,0.0,0.0
Alpha Prime,Alpha Prime,Nov 7 2007,17,1,1,0,59,1,2,984,1,11,312427,14624,64207,6632,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,4.99,4.99
Vampire: The Masquerade - Bloodlines,Vampire: The Masquerade - Bloodlines,Mar 22 2007,17,0,1,0,80,0,1,3983,1,10,544326,19297,407303,16695,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99
GUN,GUN(tm),Oct 13 2006,17,0,1,0,76,1,1,351,1,5,70664,6957,43044,5430,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99
Call of Duty,Call of Duty(r),Oct 13 2006,0,0,1,0,91,0,4,851,1,5,223470,12369,158007,10402,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99
Call of Duty 2,Call of Duty(r) 2,Oct 13 2006,0,0,2,0,86,0,4,1307,2,5,340226,15260,255573,13228,0,0,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99
Call of Duty: United Offensive,Call of Duty: United Offensive,Oct 13 2006,0,0,1,0,87,0,4,318,1,5,189034,11377,96311,8122,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,19.99,19.99
RollerCoaster Tycoon 3: Platinum!,RollerCoaster Tycoon(r) 3: Platinum,Mar 12 2008,0,0,2,0,81,1,2,2579,2,8,799182,23374,722779,22231,0,0,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,USD,19.99,19.99
Act of War: Direct Action,Act of War: Direct Action,Mar 12 2008,0,0,1,0,82,0,1,109,1,12,22598,3934,15962,3306,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,2.99,2.99
ThreadSpace: Hyperbol,ThreadSpace: Hyperbol,Jul 12 2007,0,1,1,0,0,1,3,0,1,8,26544,4264,5201,1887,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99
Arma: Combat Operations,ARMA: Combat Operations,Mar 12 2008,0,0,1,0,74,1,1,181,1,20,45196,5564,28158,4392,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,7.99,7.99
X2: The Threat,X2: The Threat,Jul 21 2006,0,0,1,0,72,1,3,183,1,5,231540,12591,54881,6131,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,4.99,4.99
X3: Reunion,X3: Reunion,Jul 21 2006,0,0,1,1,71,2,4,280,1,11,357802,15649,139713,9781,0,0,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99
X3: Terran Conflict,X3: Terran Conflict,Oct 16 2008,0,0,1,3,73,8,5,1262,1,12,544147,19294,319960,14799,33,10,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,USD,15.99,15.99
X: Beyond the Frontier,X: Beyond the Frontier,Oct 8 2010,0,0,1,0,67,1,3,136,1,6,206611,11894,54522,6111,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,USD,4.99,4.99
X-Tension,X: Tension,Oct 8 2010,0,0,1,0,0,1,3,0,1,4,199975,11702,26006,4220,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,USD,4.99,4.99
X Rebirth,X Rebirth,Nov 15 2013,0,1,1,2,33,3,5,5637,1,10,218806,12240,200513,11717,69,10,True,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,USD,29.99,29.99
688(I) Hunter/Killer,688(I) Hunter/Killer,Oct 26 2006,0,0,1,0,0,0,3,0,1,5,40354,5257,16321,3343,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99
Fleet Command,Fleet Command,Oct 26 2006,0,0,1,0,0,0,3,0,1,10,40712,5281,17576,3470,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99
Sub Command,Sub Command,Oct 26 2006,0,0,1,0,84,0,3,0,1,7,38740,5151,13810,3075,0,0,False,False,False,True,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,9.99,9.99
FlatOut 2,FlatOut 2(tm),Dec 21 2006,0,0,1,0,76,1,2,2870,1,10,417346,16900,281220,13875,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,USD,9.99,9.99
GTI Racing,GTI Racing,Aug 24 2006,0,0,1,0,0,1,1,0,1,5,30669,4583,20267,3726,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,USD,4.99,4.99
Xpand Rally,Xpand Rally,Aug 24 2006,0,0,1,0,82,0,1,116,1,8,48245,5748,29413,4488,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,USD,4.99,4.99
Call of Juarez,Call of Juarez(tm),Nov 8 2007,17,0,1,0,72,1,1,501,1,10,104381,8455,56316,6211,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,9.99
Xpand Rally Xtreme,Xpand Rally Xtreme,Oct 8 2008,0,0,1,0,0,0,1,0,1,12,28158,4392,10761,2715,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,USD,4.99,4.99
Men of War: Red Tide,Men of War: Red Tide,Nov 1 2009,0,0,1,0,77,1,4,228,2,14,243198,12904,74430,7140,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,4.99,4.99
King's Bounty: Armored Princess,Kings Bounty: Armored Princess,Nov 19 2009,0,1,1,0,82,3,5,308,2,20,369998,15913,113708,8825,0,0,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,USD,9.99,2.49
Painkiller: Gold Edition,Painkiller: Black Edition,Jan 24 2007,17,1,1,0,81,0,3,0,1,9,24033,4057,12016,2869,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,USD,9.99,2.49
Genesis Rising,Genesis Rising,Aug 6 2007,0,0,1,0,57,0,1,103,1,5,30669,4583,12734,2953,0,0,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,USD,4.99,4.99
